owner,address,price,price_m2,bathrooms,size_construction,size,rooms,description,floor,exterior,preservation,reference,furniture,last_updated
Inmuebles de  MARCOVE,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),3.000 €, 41  €/m², 1 baño,: 72 m² ,: 65 m² , 2 habs.,"
            Este apartamento cómodo de buenas dimensiones tiene todo lo que necesita para vivir en el casco antiguo de Barcelona. ", 2ª,Exterior,,: XA755-725,Amueblado,"
                Actualizado el 14/11/2023
            "
Inmuebles de  FINSET SERVEIS IMMOBILIARIS,Centre-Passeig i Rodalies (Manresa),1.000 €, 7  €/m², 2 baños,: 140 m² ,: 140 m² , 3 habs.,"
            Altura piso 1º, piso superficie total 140 m², superficie útil 140 m², habitaciones dobles: 3, hab. dobles son suites: 1, 2 baños, ascensor, calefacción (gas natural), chimenea, cocina, comedor, estado conservación: buen estado, orientación sur, suelos: parquet, exterior.
        ", 1ª,Exterior,: En buen estado,: 500831-000018,NA,"
                Actualizado el 06/11/2023
            "
Inmuebles de  Cano&Pujol Rubí,Zona Nord-La Serreta (Rubí),1.200 €, 10  €/m², 2 baños,: 110 m² ,: 93 m² , 3 habs.,"
            Te presentamos este fabuloso dúplex de 93 m2. Se trata de una vivienda con una distribución muy práctica.", 2ª,,: En buen estado,: 4519629-AR1410,NA,"
                Actualizado el 07/11/2023
            "
Inmuebles de  GP CASA VILASSAR,Centre (Mataró),925 €, 17  €/m², 1 baño,: 53 m² ,: 50 m² , 1 hab,"
            𝐏𝐢𝐬𝐨 𝐥𝐨𝐟𝐭 𝐞𝐧 𝐚𝐥𝐪𝐮𝐢𝐥𝐢𝐞𝐫 𝐜𝐞𝐫𝐜𝐚 𝐞𝐬𝐭𝐚𝐜𝐢𝐨́𝐧 𝐝𝐞 𝐌𝐚𝐭𝐚𝐫𝐨́ totalmente reformado con materiales nobles y de calidad, amueblado y equipado, edificio con 𝐚𝐬𝐜𝐞𝐧𝐬𝐨𝐫 y al lado de la playa y 𝐩𝐚𝐬𝐞𝐨 𝐦𝐚𝐫𝐢́𝐭𝐢𝐦𝐨 cerca de todos servicios, comercios, equipamientos, colegios, universidad, transporte público, y bien conectado con autopista y N-II 𝐆𝐏𝐜𝐚𝐬𝐚 𝐥𝐚 𝐦𝐞𝐣𝐨𝐫 𝐚𝐠𝐞𝐧𝐜𝐢𝐚 𝐢𝐧𝐦𝐨𝐛𝐢𝐥𝐢𝐚𝐫𝐢𝐚 𝐞𝐧 𝐒𝐚𝐧𝐭 𝐀𝐧𝐝𝐫𝐞𝐮 𝐝𝐞 𝐋𝐥𝐚𝐯𝐚𝐧𝐞𝐫𝐞𝐬 dispone de este 𝐏𝐢𝐬𝐨 𝐥𝐨𝐟𝐭 𝐞𝐧 𝐚𝐥𝐪𝐮𝐢𝐥𝐢𝐞𝐫 𝐜𝐞𝐫𝐜𝐚 𝐞𝐬𝐭𝐚𝐜𝐢𝐨́𝐧 𝐝𝐞 𝐌𝐚𝐭𝐚𝐫𝐨́", 3ª,,: Reformado,: 4517277-GP775,NA,"
                Actualizado el 10/11/2023
            "
Inmuebles de  VIURE A GRANOLLERS,Font Verda (Granollers),1.150 €, 12  €/m², 1 baño,: 92 m² ,: 88 m² , 3 habs.,"
            Impresionante piso de alquiler amueblado y con electrodomésticos en la font verda de granollers. Edificio de alto standing. Con 1 plaza de parquing y trastero. Consta de 88 m² distribuidos en 3 habitaciones, cocina office equipada con lavadora, lavavajillas y nevera, baño completo con plato de ducha y comedor de 22 m² con salida a balcón de 10 m². Carpintería exterior de aluminio doble cristal, suelo de mármol y puertas de cerezo. Calefacción y aire acondicionado por conducto. La finca consta de ascensor, piscina climatizada, jardín comunitario, sistema de seguridad las 24 h,... 1 plaza de parquing y trastero. Para más información, consúltenos en viure a granollers. Avda. Sant esteve nº 7. Granollers.
        ", 2ª,Exterior,: En buen estado,: 510334-AL2044,Amueblado,"
                Actualizado el 10/11/2023
            "
Inmuebles de  INES BARTRINA ROSSELL,La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),900 €, 25  €/m², 1 baño,: 35 m² ,: 31 m² , 2 habs.,"
            ¡Increíble oportunidad de alquiler en la Barceloneta! Este apartamento reformado y luminoso está situado a solo 2 minutos del mar. Con un salón comedor acogedor equipado con sofá, televisión y mesa con sillas, podrás disfrutar de tus momentos de relax. La cocina abierta cuenta con numerosos armarios y electrodomésticos incluidos, como nevera, lavadora y horno. El inmueble consta de dos habitaciones exteriores, una individual con cama y armario, y una doble espaciosa con armario. El baño reformado cuenta con ducha, mampara y lavamanos con armario. Las ventanas nuevas de aluminio con doble vidrio y persianas aseguran el máximo confort. Además, la calle tranquila en la que se encuentra el inmueble garantiza un ambiente relajado sin bares ni restaurantes. A solo 8 minutos a pie de la estación de Metro Barceloneta L4 y cerca de la plaza del mercado, el centro neurálgico de la Barceloneta con tiendas y restaurantes. No pierdas esta oportunidad de vivir en una de las zonas más deseadas de Barcelona. ¡Contáctanos ahora mismo para más información!
        ", 3ª,Exterior,: En buen estado,: SA2748-ALCANAR,NA,"
                Actualizado el 13/11/2023
            "
Inmuebles de  FINCAS LLURIA,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),3.300 €, 23  €/m², 3 baños,: 139 m² ,: 139 m² , 2 habs.,"
            Magnífico dúplex en finca exclusiva situado en Paseo de Gracia. Excelente ubicación, en pleno centro de Barcelona.", 5ª,Exterior,: En buen estado,: 518286-000580,NA,"
                Actualizado el 14/11/2023
            "
Inmuebles de  HAPPY HOUSE Servicios Inmobiliarios,Montmar (Castelldefels),1.350 €, 18  €/m², 2 baños,: 75 m² ,: 65 m² , 3 habs.,"
            Piso reformado, a estrenar en Montemar bajo muy cerca de todos los servicios. 3º piso de altura sin ascensor. Con 2 terrazas y vistas muy agradables al parque. 3 habitaciones, baño y aseo. Cocina más lavadero. plaza de aparcamiento. Zona comunitaria con jardín y piscina. Disponible a partir de agosto 2023. aicat 8375
        ", 3ª,Exterior,: Reformado,: 515193-CS001238EA,NA,"
                Actualizado el 10/11/2023
            "
Inmuebles de  AVENIR Artesanos Inmobiliarios,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),1.200 €, 26  €/m², 1 baño,: 45 m² ,: 40 m² , 1 hab,"
            ¡Vive Barcelona desde el corazón del Góticol!", 1ª,,,: SA1084-AV-ESCUDELLERS.B1/1517,Amueblado,"
                Actualizado el 13/11/2023
            "
Inmuebles de  GOLDEN VISA BARCELONA,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),1.490 €, 26  €/m², 1 baño,: 57 m² ,: 54 m² , 1 hab,"
            Piso excelentemente ubicado en el corazón del casco antiguo de Barcelona. Super bien comunicado con líneas de metro L4, L1 y L2.", 2ª,Exterior,: En buen estado,: 4515586-SANT PERE MES BAIX,NA,"
                Actualizado el 27/09/2023
            "
