owner,address,price,price_m2,bathrooms,size_construction,size,rooms,description,floor,exterior,preservation,reference,furniture,last_updated
Inmuebles de  Engel & Völkers Barcelona,Les Corts (Distrito Les Corts. Barcelona Capital),9.000 €, 47  €/m², 3 baños,: 188 m² ,, 4 habs.,"
            Os presentamos este super ático recientemente pintado totalmente listo para entrar a vivir. Totalmente  amueblado.  Para alquiler temporal.", Bajo,,,: IF76306-I-00KPX5-W-02T6FQ,Amueblado,"
                Actualizado el 06/11/2023
            "
Inmuebles de  FINQUES LLUÇANES,Gironella,525 €, 8  €/m², 1 baño,: 65 m² ,: 58 m² , 2 habs.,"
            Altura piso 2º, piso superficie total 65 m², superficie útil 58 m², habitaciones dobles: 2, 1 baño, antigüedad entre 10 y 20 años, armarios empotrados, ascensor, balcón, calefacción (gas natural), carpintería exterior (pvc), estado conservación: buen estado, vecinos por planta: 2, soleado, suelos: gres, trastero, vidrios dobles, exterior, se aceptan mascotas.
        ", 2ª,Exterior,: En buen estado,: 513880-70,NA,"
                Actualizado el 08/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Les Corts (Distrito Les Corts. Barcelona Capital),5.000 €, 34  €/m², 3 baños,: 146 m² ,, 2 habs.,"
            Excelente propiedad de 146 m2 totalmente reformada con inmejorables calidades lista para instalarse, junto a Pza. Francesc Macià.", Bajo,,: En buen estado,: IF76306-I-00KRQT-W-02TOQ6,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Maternitat-Sant Ramon (Distrito Les Corts. Barcelona Capital),1.550 €, 28  €/m², 1 baño,: 55 m² ,, 2 habs.,"
            Exclusivo apartamento reformado a estrenar de 55m2 aprox, en una finca con encanto al lado del Campo del Barça. Se trata de una excelente reforma, realizada por un arquitecto, cuidando al máximo todos los detalles y con excelentes acabados. Ubicada el primer piso de una finca regia, se trata de un segundo real sin ascensor. Recibe sol de mañana. Cuenta con 2 dormitorios, uno de ellos con balcón, cocina abierta al salón, con balcon también y 1 baño. ", Bajo,,,: IF76306-I-00KSP3-W-02TXKH,NA,"
                Actualizado el 08/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Provençals del Poblenou (Distrito Sant Martí. Barcelona Capital),1.500 €, 20  €/m², 2 baños,: 74 m² ,, 2 habs.,"
            Esta maravilla de piso, situado en edificio nuevo y moderno, está ubicado en una finca con piscina comunitaria, zona verde y cuenta con parking incluido.", Bajo,,: En buen estado,: IF76306-I-00KMHT-W-02SH6Y,NA,"
                Actualizado el 04/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),3.250 €,, 3 baños,: 170 m² ,, 5 habs.,"
            Piso de 170m2 con mucho encanto en el Eixample. Situado en una de las mejores zonas de la ciudad de Barcelona. La vivienda está en la cuarta planta de una finca regia con fachada reformada y ascensor. Dispone de 5 dormitorios, 3 baños completos, con un amplio y luminoso salón-comedor, una cocina completamente equipada y con el revestimiento del suelo en parquet. Inexistencia de espacios muertos o desaprovechados en su superficie dada su fantástica distribución. Posee calefacción y aire acondicionado. A destacar los maravillosos detalles de origen y la reforma de alta calidad. Se trata de una magnífica oportunidad en el corazón de Barcelona.", Bajo,,: En buen estado,: IF76306-I-00KD8W-W-02Q7UK,NA,"
                Actualizado el 11/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),1.850 €, 37  €/m², 1 baño,: 50 m² ,, 1 hab,"
            Apartamento temporal situado en el corazón del borne, una de las zonas más demandadas del centro de Barcelona. Apartamento completamente equipado para garantizar una cómoda estancia. Cuenta con una terraza común con cómodos sofás y vistas únicas.", Bajo,,: En buen estado,: IF76306-I-00KSAT-W-02TU1C,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),1.950 €, 24  €/m², 2 baños,: 81 m² ,, 1 hab,"
            En la calle Diputación entre Paseo de Gracia y Rambla Cataluña, ubicado en un edificio nuevo,  encontramos este apartamento totalmente reformado, amueblado y equipado, listo para entrar a vivir. Dispone de una habitación a suite con vestidor y otra estancia para invitados con baño independiente, especial por localización.", Bajo,,: En buen estado,: IF76306-I-00KS83-W-02TSGK,Amueblado,"
                Actualizado el 11/11/2023
            "
Inmuebles de  WALTER HAUS,La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),2.000 €, 28  €/m², 1 baño,: 70 m² ,, 2 habs.,"
            ALQUILER DE TEMPORADA- AMUEBLADO Y EQUIPADO-", Bajo,,,: IF7349-4486,Amueblado,"
                Actualizado el 07/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),7.100 €, 84  €/m², 2 baños,: 84 m² ,, 2 habs.,"
            Maravilloso piso amueblado con gran terraza de aproximadamente 48m2, un dormitorio doble, un dormitorio individual, salón-comedor, cocina completamente equipada y dos baños completos.", Bajo,,: En buen estado,: IF76306-I-00K8D4-W-02P471,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),4.500 €, 27  €/m², 2 baños,: 161 m² ,, 3 habs.,"
            Este elegante piso, situado en  la prestigiosa Rambla Catalunya, se presenta completamente amueblado y listo para ser habitado. Ideal para quienes buscan un espacio de larga estancia, este apartamento cuenta con 3 habitaciones, incluyendo una espaciosa suite y dos habitaciones dobles con camas individuales, así como dos baños completos. Además, cuenta con aire acondicionado por conductos y calefacción por gas, en un edificio con ascensor y servicio de portería. También se incluye una plaza de aparcamiento y trastero. Es un espacio destinado a familias, por lo que no se permiten compañeros de piso o co-living. Además, no se admiten mascotas", Bajo,,: En buen estado,: IF76306-I-00KRVQ-W-02TI7M,Amueblado,"
                Actualizado el 09/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),2.300 €, 19  €/m², 3 baños,: 116 m² ,, 3 habs.,"
            Contratos temporales a partir de 32 dias.", Bajo,,,: IF76306-I-00KRCH-W-02TKJ0,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),4.400 €, 20  €/m², 3 baños,: 220 m² ,, 3 habs.,"
            Este piso se encuentra en una finca regia, restaurada en su totalidad, con un amplio vestíbulo de grandes proporciones y gran luminosidad.", Bajo,,: En buen estado,: IF76306-I-00KM83-W-02SDDW,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  ALL 4 FLAT,La Teixonera (Distrito Horta-Guinardó. Barcelona Capital),1.100 €, 22  €/m², 1 baño,: 50 m² ,: 50 m² , 2 habs.,"
            REF.003090", 1ª,Exterior,: En buen estado,: 518209-003090,Amueblado,"
                Actualizado el 08/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),1.700 €, 28  €/m², 1 baño,: 60 m² ,, 1 hab,"
            En una bonita finca de 1935, de aproximadamente 60m2, con dos balcones y vistas despejadas a los jardines de la escuela industrial, encontramos este acogedor piso reformado y totalmente amueblado. Una espectacular reforma con muy buenos acabados, materiales y en un estilo fresco y moderno. Hay una zona muy luminosa y central del piso, que es el salón comedor. La cocina está abierta a este espacio y separada por una isla. También encontramos una zona especialmente habilitada para tener un office, muy amplia y luminosa. Desde este espacio tenemos la salida exterior a los dos balcones. Después, encontramos una habitación doble con un gran armario y un baño totalmente reformado con una gran y moderna ducha. El piso tiene aire acondicionado y calefacción por bomba de calor. El suelo es una mezcla moderna entre parquet y baldosa hidráulica, muy actual y con la que gana personalidad y estilo. La carpintería exterior es nueva y aislante. El lavadero está en el interior, en una zona panelada del pasillo.", Bajo,,: En buen estado,: IF76306-I-00KR21-W-02TEI9,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  NOVA FINQUES,La Creu Alta (Sabadell),900 €, 14  €/m², 2 baños,: 62 m² ,: 60 m² , 3 habs.,"
            Nova finques comercializa fantástico ático totalmente reformado y exterior, en alquiler con opción a compra para entrar a vivir,  con terraza de 60m², en zona creu alta, sabadell. ", 4ª,,,: SA3386-CDV160458A/8710,NA,"
                Actualizado el 18/10/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),5.770 €, 72  €/m², 2 baños,: 80 m² ,, 3 habs.,"
            Alquila este precioso apartamento con servicios incluidos a pocas manzanas del Paseo de Gracia con Diagonal, una de las mejores zonas de Barcelona, disfruta de los encantos que tiene el barrio de gracia y del esplendor del Eixample, disfruta de la calle peatonal del ayuntamiento de centenares llena de bares, restaurantes y tiendas de barrio.", Bajo,,: En buen estado,: IF76306-I-00KSFJ-W-02TVBU,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),1.900 €,, 1 baño,: 80 m² ,, 3 habs.,"
            Vivienda reformada en el corazón del borne se alquila para 11 meses. Tiene Internet y alarma incluido en el precio.Dispone de techos altos con viga de madera y sus amplios interiores crean un ambiente acogedor y moderno.", Bajo,,: En buen estado,: IF76306-I-00KSF9-W-02TVDK,Amueblado,"
                Actualizado el 14/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),1.900 €, 42  €/m², 1 baño,: 45 m² ,, 2 habs.,"
            El piso está ubicado en el Centro de Barcelona en el barrio de la Barceloneta de Ciutat Vella. Tiene 2 dormitorios y está totalmente amueblado y equipado con todo lo necesario.", Bajo,,: En buen estado,: IF76306-I-00KN42-W-02SNO4,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),3.200 €,,Bajo,: 190 m² ,, 3 baños,"
            Este magnífico Ático dúplex completamente reformado consta en la planta principal de un amplio y luminoso salón comedor con salida a una primera terraza de 35 m2, una cocina abierta equipada, un dormitorio doble, un dormitorio mediano y un baño completo con ducha.", Bajo,,: En buen estado,: IF76306-I-00KPS7-W-02T73P,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),4.700 €, 67  €/m², 1 baño,: 70 m² ,, 1 hab,"
            Magnífico piso de lujo de 55m2 + terraza de 30m2 totalmente amueblado y equipado con materiales de alta calidad y alto standing. Mobiliario de reconocidos diseñadores. Decorado con estilo, elegancia y distinción. Con excelente distribución dispone de un amplio salón comedor, dormitorio doble con cama King, 1 baño con ducha. Cocina completamente equipada con electrodomésticos TEKA, cocina Vitrocerámica, horno, microondas, nevera, lavadora, secadora, lavavajillas y pequeños electrodomésticos.", Bajo,,: En buen estado,: IF76306-I-00KMCQ-W-02G846,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  GESPA GESTIO DE PATRIMONI,Les Salines-Clot del Bassó-Mota de Sant Pere (Cubelles),1.600 €, 13  €/m², 2 baños,: 115 m² ,: 100 m² , 4 habs.,"
            GESPA gestión de patrimonio pone en alquiler con opción a compra este magnifico ático situado a primera línea de mar. ", 6ª,Exterior,: En buen estado,: SA4413-AL.7116,NA,"
                Actualizado el 31/10/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),2.600 €, 14  €/m², 3 baños,: 175 m² ,, 3 habs.,"
            Señorial y muy luminoso piso de 170 metros cuadrados útiles ubicado en la calle Vía Augusta. Se accede al piso por un gran recibidor al que sigue una zona noble con posibles distintos usos (despacho, biblioteca, etc). Dispone de un amplio salón con una boisserie de madera noble que conecta con un espacioso comedor. Ambas estancias están dotadas de gran luz natural y dan a una terraza muy agradable y con vistas despejadas. Cocina muy amplia dotada de todos los electrodomésticos a la que se une un gran espacio para despensa así como un dormitorio provisto con un aseo con ducha, antiguamente utilizado como habitación de servicio pero que posibilita otros usos como zona de office, costura, despacho, etc. Lavadero interior, tres dormitorios dobles con armarios empotrados, todos ellos muy amplios y con mucha luz natural. Dos baños completos, uno con ducha y otro con bañera. Suelos de parket en gran parte del inmueble. Este piso se caracteriza especialmente por recibir mucha luz natural creándose así espacios muy armoniosos.", Bajo,,,: IF76306-I-00KQBA-W-02SWLA,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Poblenou (Distrito Sant Martí. Barcelona Capital),2.700 €, 38  €/m², 1 baño,: 70 m² ,, 1 hab,"
            Estupendo piso finamente decorado  salón comedor, concepto de cocina abierta, completamente equipado.", Bajo,,,: IF76306-I-00KEMC-W-02QQP8,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  NOA LUXURY PROPERTIES,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),3.500 €, 26  €/m², 2 baños,: 133 m² ,: 100 m² , 2 habs.,"
            ¡Noa Properties te descubre este espectacular piso en pleno corazón de Barcelona! Con un estilo moderno y acogedor, este hogar te ofrece todo lo que necesitas para disfrutar al máximo de tu estancia en la ciudad. ", 3ª,,,: SA4903-1237/9771,Amueblado,"
                Actualizado el 07/11/2023
            "
Inmuebles de  SINGULAR PROPERTIES,El Poble-sec (Distrito Sants-Montjuïc. Barcelona Capital),1.600 €, 27  €/m², 2 baños,: 58 m² ,, 1 hab,"
            Libre desde el 3 de enero. La estancia deberá ser de 3 a 11 meses: contrato de arrendamiento temporal (2 meses de fianza.", 2ª,,,: SA2030-SP117NG/2237,Amueblado,"
                Actualizado el 09/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),3.500 €, 40  €/m², 1 baño,: 86 m² ,, 2 habs.,"
            Espectacular ático totalmente amueblado, listo para entrar a vivir.", Bajo,,: En buen estado,: IF76306-I-00KN4D-W-02SNTJ,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),2.500 €, 16  €/m², 2 baños,: 150 m² ,, 4 habs.,"
            VISITAS A PARTIR DEL 15 DE NOVIEMBRE.", Bajo,,: En buen estado,: IF76306-I-00KRF8-W-02TKZA,NA,"
                Actualizado el 10/11/2023
            "
Inmuebles de  INMOSERVICE BARCELONA,La Vila Olímpica del Poblenou (Distrito Sant Martí. Barcelona Capital),2.800 €, 19  €/m², 2 baños,: 145 m² ,: 130 m² , 2 habs.,"
            Espectacular triplex en edificio industrial catalogado.", Bajo,,,: SA1366-ISBMP202/2015,NA,"
                Actualizado el 19/10/2023
            "
Inmuebles de  INMOSERVICE BARCELONA,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),1.100 €, 23  €/m², 1 baño,: 47 m² ,: 45 m² , 1 hab,"
            Bonito Loft equipado en el Born.", 2ª,,,: SA1366-ISDZZTTEMI406/2015,Amueblado,"
                Actualizado el 04/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),12.000 €, 100  €/m², 2 baños,: 120 m² ,, 2 habs.,"
            Piso temporal. CONSULTAD precios, varían según la estancia. En pleno Pla de Palau, una de las mejores zonas del", Bajo,,: En buen estado,: IF76306-I-00KI0T-W-02RHD6,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  MB IMMOBLES,La Creu Alta (Sabadell),1.400 €, 13  €/m², 2 baños,: 106 m² ,: 90 m² , 3 habs.,"
            Desde Mbimmobles os ofrecemos este amplio y luminoso piso de 3 dormitorios ( dos dobles y uno individual) dos baños completos ( uno con bañera y el otro con plato de ducha). Salón comedor con salida al balcón, cocina office y cuarto lavadero. Suelo de tarima, puerta de Haya, calefacción a gas y aire acondicionado en toda la vivienda. Ubicado en una de las mejores zonas de Sabadell. ( Creu Alta ). Bien comunicado y con todos los servicios. Parada de los Ferrocarriles de Generalitat de la Creu Alta, buena comunicación de entrada y salida a la ciudad y a 10 minutos andando de la plaza del ayuntamiento.", 3ª,,,: SA1627-AV0202/5310,NA,"
                Actualizado el 07/09/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Parc-La Llacuna del Poblenou (Distrito Sant Martí. Barcelona Capital),2.045 €, 40  €/m², 1 baño,: 50 m² ,, 1 hab,"
            Apartamento temporal ubicado en una de las zonas más exclusivas de Barcelona. Apartamento completamente equipado para garantizar una cómoda estanciaEl apartamento cuenta con servicios incluidos: Wifi, 2 limpiezas mantenimiento al mes, suministros hasta 80€/mes, gastos de gestión ITP. Los pisos tienen Aire acondicionado y están totalmente equipado y listo para entrar a vivir. El edificio cuenta con ascensor. Los pisos tiene una ubicación excepcional en una de las zonas más exclusivas de Barcelona.", Bajo,,: En buen estado,: IF76306-I-00KP0U-W-02SOK8,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Provençals del Poblenou (Distrito Sant Martí. Barcelona Capital),2.800 €, 24  €/m², 3 baños,: 113 m² ,, 2 habs.,"
            Confortable y luminoso ático duplex de 100 metros más terraza de 8 metros. Amueblado. Cuenta con 2 dormitorios dobles (1 en suite), 2 baños, 1 aseo. Este magnífico duplex está completamente amueblado  con calidad y buen gusto. En la planta de abajo encontramos la zona de día, compuesta por un confortable salón -comedor con salida a la soleada terraza de 8 metros, la cocina independiente con un diseño práctico y funcional con gran cantidad de armarios para almacenaje, electrodomésticos totalmente integrados y encimera de silestone,  por último encontramos un cómodo aseo de cortesía. En la planta alta tenemos la zona de noche con la habitación principal (suite), lavabo con bañera, canapé de almacenaje y un gran armario empotrado, la segunda habitación es doble, con armario empotrado y está equipada como habitación y escritorio, en esta planta también encontramos otro lavabo con ducha y la zona de lavadora y secadora. Las dos habitaciones son soleadas con vistas a la Avenida Diagonal. Esta vivienda cuenta con todas las comodidades necesarias para una confortable estancia, suelo de madera natural, aire acondicionado y calefacción por conductos con termostato en los dos pisos, doble cristal climalit, detector de humos, TV, conexión WIFI, videoportero. Zona comunitaria con una estupenda piscina con solarium y una gran zona con césped con parque infantil. Parking opcional 1 plaza de parking por 150 euros/mes.", Bajo,,: En buen estado,: IF76306-I-00KQAF-W-02T6RQ,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),3.500 €, 70  €/m², 1 baño,: 50 m² ,, 1 hab,"
            Magnífico piso amueblado de alto standing, con terraza, un dormitorio doble, salón-comedor, cocina completamente equipada y un baño completo con ducha.", Bajo,,: En buen estado,: IF76306-I-00K866-W-02P3CP,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Pedralbes (Distrito Les Corts. Barcelona Capital),5.866 €, 26  €/m², 4 baños,: 220 m² ,, 4 habs.,"
            Elegante piso situado en el corazón de Pedralbes, uno de los", Bajo,,: En buen estado,: IF76306-I-00K6L0-W-02OOLX,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  ALL 4 FLAT,El Bon Pastor (Distrito Sant Andreu. Barcelona Capital),1.500 €, 12  €/m², 2 baños,: 125 m² ,: 94 m² , 3 habs.,"
            REF: 003080", 3ª,Exterior,: En buen estado,: 518209-003080,Amueblado,"
                Actualizado el 08/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),3.500 €, 19  €/m², 2 baños,: 181 m² ,, 3 habs.,"
            La vivienda se encuentra en un edificio recientemente rehabilitado. Al entrar en la vivienda a mano izquierda nos encontramos con un amplio salón-comedor. Al lado del comedor encontramos el primer dormitorio también exterior con su baño en suite. Nada más entrar a la vivienda a mano izquierda nos encontramos con un pasillo que nos lleva a una amplia cocina totalmente nueva y también a dos dormitorios dobles y a dos de los baños. La propiedad está nueva a estrenar y conserva bonitos elementos originales en techos y el suelo.", Bajo,,: En buen estado,: IF76306-I-00KQVB-W-02TG2Z,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),2.585 €, 32  €/m², 2 baños,: 80 m² ,, 2 habs.,"
            Apartamento temporal situado en el corazón del borne, una de las zonas más demandadas del centro de Barcelona. Apartamento completamente equipado para garantizar una cómoda estancia. Cuenta con una terraza común con cómodos sofás y vistas únicas.", Bajo,,: En buen estado,: IF76306-I-00KPWW-W-02T7JV,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),3.000 €, 21  €/m², 2 baños,: 140 m² ,, 3 habs.,"
            Bienvenidos a esta joya del Eixample Dreta, un piso completamente reformado que combina la elegancia clásica con comodidades modernas en el corazón de Barcelona.", Bajo,,,: IF76306-I-00KS5P-W-02TRYK,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Antoni (Distrito Eixample. Barcelona Capital),2.600 €, 37  €/m², 2 baños,: 70 m² ,, 3 habs.,"
            Precioso piso, reformado a estrenar, que consta de 3 habitaciones, 2 baños, salón/comedor y cocina totalmente equipada. El salón tiene acceso a un agradable balcón.", Bajo,,: En buen estado,: IF76306-I-00KOZ4-W-02T1AO,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  FINCAS RO,L'Hostal-Lledoner (Granollers),925 €, 10  €/m², 2 baños,: 90 m² ,, 3 habs.,"
            Precioso dúplex en alquiler en la zona nueva de Bellavista y muy tranquila. ", 2ª,Exterior,: En buen estado,: SA3301-PL-05501,NA,"
                Actualizado el 11/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Antoni (Distrito Eixample. Barcelona Capital),4.500 €, 34  €/m², 2 baños,: 130 m² ,, 4 habs.,"
            Alquiler temporal únicamente.", Bajo,,,: IF76306-I-00KL68-W-02R3XD,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital),2.650 €, 26  €/m², 1 baño,: 99 m² ,, 2 habs.,"
            En un edificio de 5 plantas de Obra Nueva, a sólo 100 metros del Portal del Ángel, encontramos esta exclusiva vivienda totalmente amueblada y exterior. Ubicada en la primera planta, consta de 95m2 más 9m2 de terraza. Se distribuye en un elegante salón con cocina de concepto abierto y salida a una bonita terraza, dos dormitorios dobles con armarios empotradas y un baño completo con ducha y ventana. El cómodo recibidor también dispone de amplios armarios. El diseño interior del edificio está en armonía con la visión arquitectónica; vivir con las máximas comodidades y confort en un emblemático edificio de diseño industrial. Ofrece una selección de los mejores materiales y acabados, así como electrodomésticos de gama alta. Disponen de Aerotermia, lo que se traduce en un gran aislamiento acústico y un bajo consumo de energía. Cocinas y electrodomésticos de marcas alemanas reconocidas. Armarios empotrados, suelos de parqué y una plaza de aparcamiento opcional en la finca. Además la finca goza de una zona comunitaria con solárium en el terrado e increíbles vistas a la ciudad.", Bajo,,,: IF76306-I-00KPP4-W-02RBJZ,NA,"
                Actualizado el 07/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),5.100 €, 15  €/m², 5 baños,: 330 m² ,, 4 habs.,"
            Fantástica vivienda señorial de amplias estancias de aprox. 350 m2, 3º de  altura y situada en una tranquila calle residencial. Conserva todo su encanto original y combina  a la perfección el estilo moderno con el clásico. Goza de buena orientación y una magnífica distribución, diferenciando claramente zona de día y de noche. En la zona de día encontramos un gran hall de entrada seguido de un amplio salón comedor a dos piezas y acceso a pie de una terraza disfrutable de 25 m2. Acabamos con una cocina íntegramente reformada con office, zona de servicio completa y zona de aguas. En la zona de noche, tenemos una suite principal, otra suite en la que se han juntado dos dormitorios y otro dormitorio, además de otro baño completo.  Además tiene una habitación de servicio con baño en suite. también cuenta con un aseo. En resumen, 4 dormitorios dobles con 3 baños en suite, + otro baño completo + aseo. Esta maravillosa propiedad incluye 1 plaza de parking en la misma finca. Se alquila sin muebles.", Bajo,,: En buen estado,: IF76306-I-00KR28-W-02TI3M,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),3.500 €, 26  €/m², 2 baños,: 130 m² ,, 3 habs.,"
            Exclusiu pis a la Barceloneta amb espectaculars vistes al port. Lhabitatge està situat en un edifici amb ascensor. Un cop s'accedeix a la vivenda ens trobem a mà dreta la cuina totalment moblada i equipada amb tots els electrodomèstics. Tot seguit, veiem un gran saló-menjador amb una petita terrassa amb espectaculars vistes al port. A més, l'habitatge compta amb 2 dormitoris dobles amb dos banys en suite + una habitació estudi amb zona de treball. L´edifici té ascensor. Perfectament ubicat a uns metres de la platja de la Barceloneta. El pis ha estat reformat i decorat amb mobiliari de luxe.", Bajo,,,: IF76306-I-00KPEP-W-02T4E6,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Barceloneta (Distrito Ciutat Vella. Barcelona Capital),1.600 €, 21  €/m², 2 baños,: 74 m² ,, 2 habs.,"
            Este hermoso piso de 2 habitaciones, 2 baños y cocina equipada se encuentra en uno de los barrios más emblemáticos de Barcelona, la Barceloneta. Con una ubicación privilegiada y a tan solo unos pasos de la playa, este inmueble ofrece comodidad y estilo.", Bajo,,,: IF76306-I-00KSOR-W-02TXD2,Amueblado,"
                Actualizado el 09/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Diagonal Mar-El Front Marítim del Poblenou (Distrito Sant Martí. Barcelona Capital),5.800 €, 72  €/m², 1 baño,: 80 m² ,, 2 habs.,"
            A tan solo 1 minuto del centro de Diagonal Mar, un centro comercial de casi 100.000 m2 que alberga las marcas de moda más grandes e importantes, nuestro increíble apartamento de 1 dormitorio es el lugar ideal para aquellos que buscan alojarse en una de las zonas de Barcelona de más reciente desarrollo.", Bajo,,,: IF76306-I-00KGJO-W-02R5A5,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital),1.700 €, 28  €/m², 1 baño,: 59 m² ,, 1 hab,"
            En finca regia de 1860, enontramos esta joya completaamente restaurada con moderna cocina abierta a amplio salon, 1 dormitorio dobles y 1 baño. ", Bajo,,: En buen estado,: IF76306-I-00KQO2-W-02TAYP,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  PREMIUM HOUSES,Sant Pol de Mar,1.250 €, 12  €/m², 1 baño,: 98 m² ,: 72 m² , 3 habs.,"
            Presentamos este bello piso decorado estilo nórdico.", 5ª,,,: SA1393-PH102884/3699,NA,"
                Actualizado el 14/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),2.200 €, 29  €/m², 1 baño,: 74 m² ,, 2 habs.,"
            Este acogedor piso, totalmente remodelado , cuenta con una estupenda galeria que da acceso hacia una terraza con toldo extensible, sobre un estupendo jardin de 200m2 de uso exclusivo, lo que es un verdadero oasis en plena ciudad", Bajo,,: En buen estado,: IF76306-I-00KMZZ-W-02SHLL,NA,"
                Actualizado el 03/11/2023
            "
